ID,Enunciado,Tarea,Dueño/Voluntario,Estado,# Horas estimadas totales,Día Cons.,Realizado
HU10,Como usuario nuevo quiero cambiar mi contraseña temporal para personalizar mi acceso,Actualizar persistencia con nueva contraseña,Equipo Backend,Completado,2,2,2
HU11,Como usuario quiero ver solo las funcionalidades permitidas por mi rol para una mejor experiencia,Crear componente ProtectedRoute,Equipo Frontend,Completado,4,1,4
HU11,Como usuario quiero ver solo las funcionalidades permitidas por mi rol para una mejor experiencia,Implementar sistema de permisos por rol,Equipo Frontend,Completado,5,2,5
HU11,Como usuario quiero ver solo las funcionalidades permitidas por mi rol para una mejor experiencia,Configurar rutas protegidas,Equipo Frontend,Completado,4,2,4
HU11,Como usuario quiero ver solo las funcionalidades permitidas por mi rol para una mejor experiencia,Crear redirecciones inteligentes por rol,Equipo Frontend,Completado,3,2,3
HU11,Como usuario quiero ver solo las funcionalidades permitidas por mi rol para una mejor experiencia,Implementar sidebar dinámico según rol,Equipo Frontend,Completado,5,3,5
HU11,Como usuario quiero ver solo las funcionalidades permitidas por mi rol para una mejor experiencia,Crear mensajes de error por falta de permisos,Equipo Frontend,Completado,2,3,2
HU14,Como operador quiero crear transferencias entre depósitos para redistribuir stock,Diseñar wizard de transferencia en 2 pasos,Equipo Frontend,Completado,5,1,5
HU14,Como operador quiero crear transferencias entre depósitos para redistribuir stock,Implementar paso 1: selección origen/destino,Equipo Frontend,Completado,4,1,4
HU14,Como operador quiero crear transferencias entre depósitos para redistribuir stock,Implementar paso 2: selección de productos,Equipo Frontend,Completado,5,2,5
HU14,Como operador quiero crear transferencias entre depósitos para redistribuir stock,Crear validación de stock en origen,Equipo Frontend,Completado,4,2,4
HU14,Como operador quiero crear transferencias entre depósitos para redistribuir stock,Implementar confirmación de transferencia,Equipo Frontend,Completado,3,2,3
HU14,Como operador quiero crear transferencias entre depósitos para redistribuir stock,Crear endpoint de creación de transferencia,Equipo Backend,Completado,6,2,6
HU14,Como operador quiero crear transferencias entre depósitos para redistribuir stock,Implementar actualización de stock en origen,Equipo Backend,Completado,4,3,4
HU14,Como operador quiero crear transferencias entre depósitos para redistribuir stock,Implementar actualización de stock en destino,Equipo Backend,Completado,4,3,4
HU14,Como operador quiero crear transferencias entre depósitos para redistribuir stock,Crear registro de movimientos de stock,Equipo Backend,Completado,5,3,5
HU15,Como operador quiero ver el detalle de una transferencia para verificar información,Diseñar pantalla de detalle de transferencia,Equipo Frontend,Completado,3,1,3
HU15,Como operador quiero ver el detalle de una transferencia para verificar información,Implementar visualización de datos de transferencia,Equipo Frontend,Completado,4,2,4
HU15,Como operador quiero ver el detalle de una transferencia para verificar información,Crear listado de transferencias con filtros,Equipo Frontend,Completado,5,2,5
HU15,Como operador quiero ver el detalle de una transferencia para verificar información,Implementar impresión de comprobante,Equipo Frontend,Completado,5,3,5
HU15,Como operador quiero ver el detalle de una transferencia para verificar información,Crear endpoint de consulta de transferencias,Equipo Backend,Completado,3,2,3
HU17,Como administrador quiero ver un dashboard con KPIs para monitorear el negocio,Diseñar layout del dashboard,Equipo Frontend,Completado,4,1,4
HU17,Como administrador quiero ver un dashboard con KPIs para monitorear el negocio,Implementar tarjetas de KPIs principales,Equipo Frontend,Completado,5,2,5
HU17,Como administrador quiero ver un dashboard con KPIs para monitorear el negocio,Crear gráficos de ventas,Equipo Frontend,Completado,6,2,6
HU17,Como administrador quiero ver un dashboard con KPIs para monitorear el negocio,Implementar tabla de top productos,Equipo Frontend,Completado,4,3,4
HU17,Como administrador quiero ver un dashboard con KPIs para monitorear el negocio,Crear endpoint de KPIs,Equipo Backend,Completado,5,2,5
HU17,Como administrador quiero ver un dashboard con KPIs para monitorear el negocio,Implementar cálculos de métricas,Equipo Backend,Completado,4,3,4
HU18,Como administrador quiero generar reportes de ventas y stock para análisis,Diseñar pantalla de reportes con tabs,Equipo Frontend,Completado,4,1,4
HU18,Como administrador quiero generar reportes de ventas y stock para análisis,Implementar filtros de fecha y depósito,Equipo Frontend,Completado,4,2,4
HU18,Como administrador quiero generar reportes de ventas y stock para análisis,Crear reporte de ventas con detalles,Equipo Frontend,Completado,5,2,5
HU18,Como administrador quiero generar reportes de ventas y stock para análisis,Crear reporte de stock con movimientos,Equipo Frontend,Completado,5,2,5
HU18,Como administrador quiero generar reportes de ventas y stock para análisis,Implementar exportación a CSV,Equipo Frontend,Completado,5,3,5
HU18,Como administrador quiero generar reportes de ventas y stock para análisis,Implementar exportación a PDF,Equipo Frontend,Completado,6,3,6
HU18,Como administrador quiero generar reportes de ventas y stock para análisis,Crear endpoint de reporte de ventas,Equipo Backend,Completado,4,2,4
HU18,Como administrador quiero generar reportes de ventas y stock para análisis,Crear endpoint de reporte de stock,Equipo Backend,Completado,4,2,4
HU18,Como administrador quiero generar reportes de ventas y stock para análisis,Implementar agregación de datos para reportes,Equipo Backend,Completado,5,3,5
